[message]
You can't die in this level too!

Press down to duck!
You will need it to get through some holes!


Have fun! ;)
[/message]
[finishMessage]
Great you completed the second level!

Press ENTER to load the next one
or press ESCAPE to return to menu
[/finishMessage]
[finish]
9900
[static]
0 0 20 440
0 440 850 20
850 460 0 0
840 230 -20 180
820 390 10 0
810 490 770 20
1580 510 0 0
1560 490 20 -60
1580 350 -20 -130
1580 210 -760 20
820 230 0 0
1580 430 360 20
1940 450 0 0
1940 440 50 -20
1990 420 50 -20
2040 400 50 -20
2090 380 50 -20
2140 360 50 -20
2190 340 50 -20
2240 320 270 20
2510 340 20 70
2530 410 20 70
2550 480 420 90
2970 570 15 -90
2985 445 -15 -170
2935 685 1220 20
4155 705 0 0
3395 510 170 140
3565 650 0 0
3565 610 360 -20
3925 590 -25 10
3635 680 235 -20
3635 685 235 -25
3925 510 315 140
4240 650 0 5
4155 705 510 -20
4665 685 25 20
4690 705 0 0
4535 610 125 25
4660 635 -5 0
4535 620 -65 15
4660 630 275 -20
4935 610 0 0
4690 700 55 25
4745 725 60 25
4805 750 65 25
4870 775 60 25
4930 800 190 -25
5120 775 5 0
4930 610 25 20
4955 630 60 25
5015 655 65 25
5080 680 70 25
5150 705 120 -25
5270 680 65 -25
5335 655 75 -25
5410 630 320 -25
5730 605 0 0
5115 800 395 -25
5510 775 70 -25
5580 750 85 -25
5665 725 495 -25
6155 725 15 -35
6170 635 -15 -105
6170 700 470 25
6640 725 -5 0
6390 690 15 10
6405 635 -15 -100
6625 690 20 10
6625 640 25 -105
6640 725 730 -25
7370 700 0 0
6845 695 65 5
6910 700 0 0
6845 645 70 -110
6915 695 -10 5
6905 700 0 0
7075 700 15 -30
7075 610 15 -95
7085 670 285 30
7370 700 0 0
7295 670 20 -40
7315 630 55 95
7370 725 0 0
7370 725 975 -20
8345 705 0 0
7670 700 25 5
7695 640 -25 -75
7785 700 35 5
7820 705 0 0
7785 645 35 -80
7900 700 20 5
7895 650 25 -85
7980 680 95 25
8070 680 170 -30
8240 650 195 -30
8435 620 0 0
8550 620 210 30
8345 705 915 20
8760 650 -20 25
8740 675 10 0
8930 620 330 30
8930 650 20 25
8550 650 20 25
8435 650 -20 25
9240 650 20 25
9260 725 380 -20
9635 705 300 20
9935 725 0 0
9585 575 20 95
9735 705 20 -40
9935 565 -20 95
[/static]
